Canadian Province/CMA,Country,Continent,Gender,Population
Newfoundland and Labrador,United States of America,North America,Men+,75
Newfoundland and Labrador,Mexico,North America,Men+,15
Newfoundland and Labrador,Jamaica,North America,Men+,65
Newfoundland and Labrador,Trinidad and Tobago,North America,Men+,15
Newfoundland and Labrador,Brazil,South America,Men+,10
Newfoundland and Labrador,Colombia,South America,Men+,15
Newfoundland and Labrador,Belgium,Europe,Men+,10
Newfoundland and Labrador,France,Europe,Men+,15
Newfoundland and Labrador,Germany,Europe,Men+,15
Newfoundland and Labrador,Russian Federation,Europe,Men+,15
Newfoundland and Labrador,Denmark,Europe,Men+,20
Newfoundland and Labrador,Ireland,Europe,Men+,35
Newfoundland and Labrador,United Kingdom,Europe,Men+,90
Newfoundland and Labrador,Italy,Europe,Men+,10
Newfoundland and Labrador,Ghana,Africa,Men+,10
Newfoundland and Labrador,Nigeria,Africa,Men+,175
Newfoundland and Labrador,Eritrea,Africa,Men+,60
Newfoundland and Labrador,South Sudan,Africa,Men+,10
Newfoundland and Labrador,Zimbabwe,Africa,Men+,15
Newfoundland and Labrador,Egypt,Africa,Men+,25
Newfoundland and Labrador,Libya,Africa,Men+,20
Newfoundland and Labrador,Sudan,Africa,Men+,35
Newfoundland and Labrador,Tunisia,Africa,Men+,15
Newfoundland and Labrador,Central African Republic,Africa,Men+,10
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Men+,25
Newfoundland and Labrador,"South Africa, Republic of",Africa,Men+,35
Newfoundland and Labrador,Iran,Asia,Men+,20
Newfoundland and Labrador,Iraq,Asia,Men+,25
Newfoundland and Labrador,Jordan,Asia,Men+,20
Newfoundland and Labrador,Kazakhstan,Asia,Men+,10
Newfoundland and Labrador,Lebanon,Asia,Men+,35
Newfoundland and Labrador,Saudi Arabia,Asia,Men+,10
Newfoundland and Labrador,Syria,Asia,Men+,210
Newfoundland and Labrador,Turkey,Asia,Men+,25
Newfoundland and Labrador,United Arab Emirates,Asia,Men+,10
Newfoundland and Labrador,China,Asia,Men+,85
Newfoundland and Labrador,Philippines,Asia,Men+,380
Newfoundland and Labrador,Thailand,Asia,Men+,10
Newfoundland and Labrador,Viet Nam,Asia,Men+,15
Newfoundland and Labrador,Bangladesh,Asia,Men+,45
Newfoundland and Labrador,India,Asia,Men+,200
Newfoundland and Labrador,Pakistan,Asia,Men+,45
Newfoundland and Labrador,Sri Lanka,Asia,Men+,10
Newfoundland and Labrador,United States of America,North America,Women+,70
Newfoundland and Labrador,Mexico,North America,Women+,10
Newfoundland and Labrador,Jamaica,North America,Women+,75
Newfoundland and Labrador,Trinidad and Tobago,North America,Women+,15
Newfoundland and Labrador,Brazil,South America,Women+,15
Newfoundland and Labrador,Peru,South America,Women+,10
Newfoundland and Labrador,France,Europe,Women+,20
Newfoundland and Labrador,Germany,Europe,Women+,10
Newfoundland and Labrador,Switzerland,Europe,Women+,10
Newfoundland and Labrador,Romania,Europe,Women+,10
Newfoundland and Labrador,Russian Federation,Europe,Women+,15
Newfoundland and Labrador,Ukraine,Europe,Women+,10
Newfoundland and Labrador,Ireland,Europe,Women+,25
Newfoundland and Labrador,United Kingdom,Europe,Women+,35
Newfoundland and Labrador,Nigeria,Africa,Women+,120
Newfoundland and Labrador,Eritrea,Africa,Women+,40
Newfoundland and Labrador,Ethiopia,Africa,Women+,15
Newfoundland and Labrador,Mauritius,Africa,Women+,10
Newfoundland and Labrador,South Sudan,Africa,Women+,10
Newfoundland and Labrador,Tanzania,Africa,Women+,10
Newfoundland and Labrador,Zimbabwe,Africa,Women+,10
Newfoundland and Labrador,Egypt,Africa,Women+,10
Newfoundland and Labrador,Libya,Africa,Women+,35
Newfoundland and Labrador,Sudan,Africa,Women+,30
Newfoundland and Labrador,Tunisia,Africa,Women+,25
Newfoundland and Labrador,Cameroon,Africa,Women+,10
Newfoundland and Labrador,Central African Republic,Africa,Women+,20
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Women+,25
Newfoundland and Labrador,"South Africa, Republic of",Africa,Women+,25
Newfoundland and Labrador,Iran,Asia,Women+,15
Newfoundland and Labrador,Iraq,Asia,Women+,35
Newfoundland and Labrador,Jordan,Asia,Women+,10
Newfoundland and Labrador,Kazakhstan,Asia,Women+,15
Newfoundland and Labrador,Kuwait,Asia,Women+,10
Newfoundland and Labrador,Lebanon,Asia,Women+,25
Newfoundland and Labrador,Saudi Arabia,Asia,Women+,15
Newfoundland and Labrador,Syria,Asia,Women+,190
Newfoundland and Labrador,United Arab Emirates,Asia,Women+,25
Newfoundland and Labrador,Yemen,Asia,Women+,10
Newfoundland and Labrador,China,Asia,Women+,110
Newfoundland and Labrador,"Korea, South",Asia,Women+,30
Newfoundland and Labrador,Taiwan,Asia,Women+,10
Newfoundland and Labrador,Philippines,Asia,Women+,560
Newfoundland and Labrador,Thailand,Asia,Women+,10
Newfoundland and Labrador,Viet Nam,Asia,Women+,20
Newfoundland and Labrador,Bangladesh,Asia,Women+,35
Newfoundland and Labrador,India,Asia,Women+,125
Newfoundland and Labrador,Pakistan,Asia,Women+,55
Newfoundland and Labrador,Sri Lanka,Asia,Women+,10
Newfoundland and Labrador,United States of America,North America,Men+,75
Newfoundland and Labrador,Mexico,North America,Men+,15
Newfoundland and Labrador,Jamaica,North America,Men+,65
Newfoundland and Labrador,Trinidad and Tobago,North America,Men+,15
Newfoundland and Labrador,Brazil,South America,Men+,10
Newfoundland and Labrador,Colombia,South America,Men+,15
Newfoundland and Labrador,Belgium,Europe,Men+,10
Newfoundland and Labrador,France,Europe,Men+,15
Newfoundland and Labrador,Germany,Europe,Men+,15
Newfoundland and Labrador,Russian Federation,Europe,Men+,15
Newfoundland and Labrador,Denmark,Europe,Men+,20
Newfoundland and Labrador,Ireland,Europe,Men+,35
Newfoundland and Labrador,United Kingdom,Europe,Men+,90
Newfoundland and Labrador,Italy,Europe,Men+,10
Newfoundland and Labrador,Ghana,Africa,Men+,10
Newfoundland and Labrador,Nigeria,Africa,Men+,170
Newfoundland and Labrador,Eritrea,Africa,Men+,50
Newfoundland and Labrador,South Sudan,Africa,Men+,10
Newfoundland and Labrador,Zimbabwe,Africa,Men+,15
Newfoundland and Labrador,Egypt,Africa,Men+,25
Newfoundland and Labrador,Libya,Africa,Men+,15
Newfoundland and Labrador,Sudan,Africa,Men+,35
Newfoundland and Labrador,Tunisia,Africa,Men+,15
Newfoundland and Labrador,Central African Republic,Africa,Men+,10
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Men+,25
Newfoundland and Labrador,"South Africa, Republic of",Africa,Men+,35
Newfoundland and Labrador,Iran,Asia,Men+,20
Newfoundland and Labrador,Iraq,Asia,Men+,25
Newfoundland and Labrador,Jordan,Asia,Men+,20
Newfoundland and Labrador,Kazakhstan,Asia,Men+,10
Newfoundland and Labrador,Lebanon,Asia,Men+,35
Newfoundland and Labrador,Saudi Arabia,Asia,Men+,10
Newfoundland and Labrador,Syria,Asia,Men+,200
Newfoundland and Labrador,Turkey,Asia,Men+,25
Newfoundland and Labrador,United Arab Emirates,Asia,Men+,10
Newfoundland and Labrador,China,Asia,Men+,85
Newfoundland and Labrador,Philippines,Asia,Men+,325
Newfoundland and Labrador,Thailand,Asia,Men+,10
Newfoundland and Labrador,Viet Nam,Asia,Men+,15
Newfoundland and Labrador,Bangladesh,Asia,Men+,40
Newfoundland and Labrador,India,Asia,Men+,195
Newfoundland and Labrador,Pakistan,Asia,Men+,45
Newfoundland and Labrador,Sri Lanka,Asia,Men+,10
Newfoundland and Labrador,United States of America,North America,Women+,65
Newfoundland and Labrador,Mexico,North America,Women+,10
Newfoundland and Labrador,Jamaica,North America,Women+,65
Newfoundland and Labrador,Trinidad and Tobago,North America,Women+,15
Newfoundland and Labrador,Brazil,South America,Women+,15
Newfoundland and Labrador,Peru,South America,Women+,10
Newfoundland and Labrador,France,Europe,Women+,20
Newfoundland and Labrador,Germany,Europe,Women+,10
Newfoundland and Labrador,Switzerland,Europe,Women+,10
Newfoundland and Labrador,Russian Federation,Europe,Women+,15
Newfoundland and Labrador,Ukraine,Europe,Women+,10
Newfoundland and Labrador,Ireland,Europe,Women+,25
Newfoundland and Labrador,United Kingdom,Europe,Women+,35
Newfoundland and Labrador,Nigeria,Africa,Women+,115
Newfoundland and Labrador,Eritrea,Africa,Women+,40
Newfoundland and Labrador,Ethiopia,Africa,Women+,15
Newfoundland and Labrador,Mauritius,Africa,Women+,10
Newfoundland and Labrador,South Sudan,Africa,Women+,10
Newfoundland and Labrador,Zimbabwe,Africa,Women+,10
Newfoundland and Labrador,Egypt,Africa,Women+,10
Newfoundland and Labrador,Libya,Africa,Women+,25
Newfoundland and Labrador,Sudan,Africa,Women+,30
Newfoundland and Labrador,Tunisia,Africa,Women+,25
Newfoundland and Labrador,Cameroon,Africa,Women+,10
Newfoundland and Labrador,Central African Republic,Africa,Women+,20
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Women+,15
Newfoundland and Labrador,"South Africa, Republic of",Africa,Women+,25
Newfoundland and Labrador,Iran,Asia,Women+,15
Newfoundland and Labrador,Iraq,Asia,Women+,35
Newfoundland and Labrador,Jordan,Asia,Women+,10
Newfoundland and Labrador,Kazakhstan,Asia,Women+,15
Newfoundland and Labrador,Kuwait,Asia,Women+,10
Newfoundland and Labrador,Lebanon,Asia,Women+,20
Newfoundland and Labrador,Saudi Arabia,Asia,Women+,15
Newfoundland and Labrador,Syria,Asia,Women+,160
Newfoundland and Labrador,United Arab Emirates,Asia,Women+,10
Newfoundland and Labrador,Yemen,Asia,Women+,10
Newfoundland and Labrador,China,Asia,Women+,110
Newfoundland and Labrador,"Korea, South",Asia,Women+,30
Newfoundland and Labrador,Philippines,Asia,Women+,480
Newfoundland and Labrador,Thailand,Asia,Women+,10
Newfoundland and Labrador,Viet Nam,Asia,Women+,20
Newfoundland and Labrador,Bangladesh,Asia,Women+,35
Newfoundland and Labrador,India,Asia,Women+,125
Newfoundland and Labrador,Pakistan,Asia,Women+,55
Newfoundland and Labrador,Sri Lanka,Asia,Women+,10
"St. John's (CMA), N.L.",United States of America,North America,Men+,55
"St. John's (CMA), N.L.",Jamaica,North America,Men+,55
"St. John's (CMA), N.L.",Trinidad and Tobago,North America,Men+,10
"St. John's (CMA), N.L.",Brazil,South America,Men+,10
"St. John's (CMA), N.L.",Colombia,South America,Men+,10
"St. John's (CMA), N.L.",France,Europe,Men+,15
"St. John's (CMA), N.L.",Germany,Europe,Men+,10
"St. John's (CMA), N.L.",Russian Federation,Europe,Men+,15
"St. John's (CMA), N.L.",Ireland,Europe,Men+,15
"St. John's (CMA), N.L.",United Kingdom,Europe,Men+,75
"St. John's (CMA), N.L.",Italy,Europe,Men+,10
"St. John's (CMA), N.L.",Ghana,Africa,Men+,10
"St. John's (CMA), N.L.",Nigeria,Africa,Men+,135
"St. John's (CMA), N.L.",Eritrea,Africa,Men+,60
"St. John's (CMA), N.L.",South Sudan,Africa,Men+,10
"St. John's (CMA), N.L.",Zimbabwe,Africa,Men+,15
"St. John's (CMA), N.L.",Egypt,Africa,Men+,10
"St. John's (CMA), N.L.",Libya,Africa,Men+,20
"St. John's (CMA), N.L.",Sudan,Africa,Men+,35
"St. John's (CMA), N.L.",Tunisia,Africa,Men+,15
"St. John's (CMA), N.L.",Central African Republic,Africa,Men+,10
"St. John's (CMA), N.L.","Congo, Democratic Republic of the",Africa,Men+,25
"St. John's (CMA), N.L.","South Africa, Republic of",Africa,Men+,25
"St. John's (CMA), N.L.",Iran,Asia,Men+,20
"St. John's (CMA), N.L.",Iraq,Asia,Men+,20
"St. John's (CMA), N.L.",Jordan,Asia,Men+,10
"St. John's (CMA), N.L.",Kazakhstan,Asia,Men+,10
"St. John's (CMA), N.L.",Lebanon,Asia,Men+,35
"St. John's (CMA), N.L.",Syria,Asia,Men+,205
"St. John's (CMA), N.L.",Turkey,Asia,Men+,20
"St. John's (CMA), N.L.",United Arab Emirates,Asia,Men+,10
"St. John's (CMA), N.L.",China,Asia,Men+,80
"St. John's (CMA), N.L.",Philippines,Asia,Men+,160
"St. John's (CMA), N.L.",Viet Nam,Asia,Men+,10
"St. John's (CMA), N.L.",Bangladesh,Asia,Men+,40
"St. John's (CMA), N.L.",India,Asia,Men+,135
"St. John's (CMA), N.L.",Pakistan,Asia,Men+,35
"St. John's (CMA), N.L.",Sri Lanka,Asia,Men+,10
"St. John's (CMA), N.L.",United States of America,North America,Women+,55
"St. John's (CMA), N.L.",Mexico,North America,Women+,10
"St. John's (CMA), N.L.",Jamaica,North America,Women+,55
"St. John's (CMA), N.L.",Trinidad and Tobago,North America,Women+,15
"St. John's (CMA), N.L.",Brazil,South America,Women+,15
"St. John's (CMA), N.L.",France,Europe,Women+,15
"St. John's (CMA), N.L.",Germany,Europe,Women+,10
"St. John's (CMA), N.L.",Romania,Europe,Women+,10
"St. John's (CMA), N.L.",Russian Federation,Europe,Women+,15
"St. John's (CMA), N.L.",Ireland,Europe,Women+,20
"St. John's (CMA), N.L.",United Kingdom,Europe,Women+,30
"St. John's (CMA), N.L.",Nigeria,Africa,Women+,105
"St. John's (CMA), N.L.",Eritrea,Africa,Women+,40
"St. John's (CMA), N.L.",Ethiopia,Africa,Women+,15
"St. John's (CMA), N.L.",South Sudan,Africa,Women+,10
"St. John's (CMA), N.L.",Tanzania,Africa,Women+,10
"St. John's (CMA), N.L.",Egypt,Africa,Women+,10
"St. John's (CMA), N.L.",Libya,Africa,Women+,35
"St. John's (CMA), N.L.",Sudan,Africa,Women+,30
"St. John's (CMA), N.L.",Tunisia,Africa,Women+,20
"St. John's (CMA), N.L.",Cameroon,Africa,Women+,10
"St. John's (CMA), N.L.",Central African Republic,Africa,Women+,20
"St. John's (CMA), N.L.","Congo, Democratic Republic of the",Africa,Women+,25
"St. John's (CMA), N.L.","South Africa, Republic of",Africa,Women+,15
"St. John's (CMA), N.L.",Iran,Asia,Women+,15
"St. John's (CMA), N.L.",Iraq,Asia,Women+,30
"St. John's (CMA), N.L.",Jordan,Asia,Women+,10
"St. John's (CMA), N.L.",Kazakhstan,Asia,Women+,15
"St. John's (CMA), N.L.",Kuwait,Asia,Women+,10
"St. John's (CMA), N.L.",Lebanon,Asia,Women+,25
"St. John's (CMA), N.L.",Syria,Asia,Women+,185
"St. John's (CMA), N.L.",United Arab Emirates,Asia,Women+,15
"St. John's (CMA), N.L.",China,Asia,Women+,100
"St. John's (CMA), N.L.","Korea, South",Asia,Women+,30
"St. John's (CMA), N.L.",Taiwan,Asia,Women+,10
"St. John's (CMA), N.L.",Philippines,Asia,Women+,265
"St. John's (CMA), N.L.",Viet Nam,Asia,Women+,15
"St. John's (CMA), N.L.",Bangladesh,Asia,Women+,30
"St. John's (CMA), N.L.",India,Asia,Women+,65
"St. John's (CMA), N.L.",Pakistan,Asia,Women+,40
"St. John's (CMA), N.L.",Sri Lanka,Asia,Women+,10
"St. John's (CMA), N.L.",United States of America,North America,Men+,55
"St. John's (CMA), N.L.",Jamaica,North America,Men+,55
"St. John's (CMA), N.L.",Trinidad and Tobago,North America,Men+,10
"St. John's (CMA), N.L.",Brazil,South America,Men+,10
"St. John's (CMA), N.L.",Colombia,South America,Men+,10
"St. John's (CMA), N.L.",France,Europe,Men+,15
"St. John's (CMA), N.L.",Germany,Europe,Men+,10
"St. John's (CMA), N.L.",Russian Federation,Europe,Men+,15
"St. John's (CMA), N.L.",Ireland,Europe,Men+,15
"St. John's (CMA), N.L.",United Kingdom,Europe,Men+,75
"St. John's (CMA), N.L.",Italy,Europe,Men+,10
"St. John's (CMA), N.L.",Ghana,Africa,Men+,10
"St. John's (CMA), N.L.",Nigeria,Africa,Men+,125
"St. John's (CMA), N.L.",Eritrea,Africa,Men+,50
"St. John's (CMA), N.L.",South Sudan,Africa,Men+,10
"St. John's (CMA), N.L.",Zimbabwe,Africa,Men+,15
"St. John's (CMA), N.L.",Egypt,Africa,Men+,10
"St. John's (CMA), N.L.",Libya,Africa,Men+,15
"St. John's (CMA), N.L.",Sudan,Africa,Men+,35
"St. John's (CMA), N.L.",Tunisia,Africa,Men+,15
"St. John's (CMA), N.L.",Central African Republic,Africa,Men+,10
"St. John's (CMA), N.L.","Congo, Democratic Republic of the",Africa,Men+,25
"St. John's (CMA), N.L.","South Africa, Republic of",Africa,Men+,20
"St. John's (CMA), N.L.",Iran,Asia,Men+,20
"St. John's (CMA), N.L.",Iraq,Asia,Men+,20
"St. John's (CMA), N.L.",Jordan,Asia,Men+,10
"St. John's (CMA), N.L.",Kazakhstan,Asia,Men+,10
"St. John's (CMA), N.L.",Lebanon,Asia,Men+,35
"St. John's (CMA), N.L.",Syria,Asia,Men+,190
"St. John's (CMA), N.L.",Turkey,Asia,Men+,20
"St. John's (CMA), N.L.",United Arab Emirates,Asia,Men+,10
"St. John's (CMA), N.L.",China,Asia,Men+,80
"St. John's (CMA), N.L.",Philippines,Asia,Men+,135
"St. John's (CMA), N.L.",Viet Nam,Asia,Men+,10
"St. John's (CMA), N.L.",Bangladesh,Asia,Men+,35
"St. John's (CMA), N.L.",India,Asia,Men+,130
"St. John's (CMA), N.L.",Pakistan,Asia,Men+,35
"St. John's (CMA), N.L.",Sri Lanka,Asia,Men+,10
"St. John's (CMA), N.L.",United States of America,North America,Women+,55
"St. John's (CMA), N.L.",Mexico,North America,Women+,10
"St. John's (CMA), N.L.",Jamaica,North America,Women+,45
"St. John's (CMA), N.L.",Trinidad and Tobago,North America,Women+,15
"St. John's (CMA), N.L.",Brazil,South America,Women+,15
"St. John's (CMA), N.L.",France,Europe,Women+,15
"St. John's (CMA), N.L.",Germany,Europe,Women+,10
"St. John's (CMA), N.L.",Russian Federation,Europe,Women+,15
"St. John's (CMA), N.L.",Ireland,Europe,Women+,20
"St. John's (CMA), N.L.",United Kingdom,Europe,Women+,30
"St. John's (CMA), N.L.",Nigeria,Africa,Women+,100
"St. John's (CMA), N.L.",Eritrea,Africa,Women+,40
"St. John's (CMA), N.L.",Ethiopia,Africa,Women+,15
"St. John's (CMA), N.L.",South Sudan,Africa,Women+,10
"St. John's (CMA), N.L.",Egypt,Africa,Women+,10
"St. John's (CMA), N.L.",Libya,Africa,Women+,25
"St. John's (CMA), N.L.",Sudan,Africa,Women+,30
"St. John's (CMA), N.L.",Tunisia,Africa,Women+,20
"St. John's (CMA), N.L.",Cameroon,Africa,Women+,10
"St. John's (CMA), N.L.",Central African Republic,Africa,Women+,20
"St. John's (CMA), N.L.","Congo, Democratic Republic of the",Africa,Women+,15
"St. John's (CMA), N.L.","South Africa, Republic of",Africa,Women+,15
"St. John's (CMA), N.L.",Iran,Asia,Women+,15
"St. John's (CMA), N.L.",Iraq,Asia,Women+,30
"St. John's (CMA), N.L.",Jordan,Asia,Women+,10
"St. John's (CMA), N.L.",Kazakhstan,Asia,Women+,15
"St. John's (CMA), N.L.",Kuwait,Asia,Women+,10
"St. John's (CMA), N.L.",Lebanon,Asia,Women+,20
"St. John's (CMA), N.L.",Syria,Asia,Women+,160
"St. John's (CMA), N.L.",China,Asia,Women+,100
"St. John's (CMA), N.L.","Korea, South",Asia,Women+,30
"St. John's (CMA), N.L.",Philippines,Asia,Women+,225
"St. John's (CMA), N.L.",Viet Nam,Asia,Women+,15
"St. John's (CMA), N.L.",Bangladesh,Asia,Women+,30
"St. John's (CMA), N.L.",India,Asia,Women+,65
"St. John's (CMA), N.L.",Pakistan,Asia,Women+,40
"St. John's (CMA), N.L.",Sri Lanka,Asia,Women+,10
Prince Edward Island,United States of America,North America,Men+,45
Prince Edward Island,Mexico,North America,Men+,15
Prince Edward Island,Bahamas,North America,Men+,35
Prince Edward Island,Jamaica,North America,Men+,45
Prince Edward Island,Brazil,South America,Men+,30
Prince Edward Island,Chile,South America,Men+,20
Prince Edward Island,Colombia,South America,Men+,15
Prince Edward Island,France,Europe,Men+,25
Prince Edward Island,Netherlands,Europe,Men+,10
Prince Edward Island,Bulgaria,Europe,Men+,10
Prince Edward Island,Russian Federation,Europe,Men+,15
Prince Edward Island,Ukraine,Europe,Men+,20
Prince Edward Island,United Kingdom,Europe,Men+,65
Prince Edward Island,Albania,Europe,Men+,10
Prince Edward Island,Italy,Europe,Men+,15
Prince Edward Island,Kosovo,Europe,Men+,20
Prince Edward Island,Nigeria,Africa,Men+,40
Prince Edward Island,Kenya,Africa,Men+,10
Prince Edward Island,Tanzania,Africa,Men+,15
Prince Edward Island,Egypt,Africa,Men+,20
Prince Edward Island,Libya,Africa,Men+,10
Prince Edward Island,"South Africa, Republic of",Africa,Men+,10
Prince Edward Island,Iraq,Asia,Men+,25
Prince Edward Island,Israel,Asia,Men+,10
Prince Edward Island,Jordan,Asia,Men+,15
Prince Edward Island,Lebanon,Asia,Men+,20
Prince Edward Island,Saudi Arabia,Asia,Men+,15
Prince Edward Island,Syria,Asia,Men+,125
Prince Edward Island,United Arab Emirates,Asia,Men+,15
Prince Edward Island,China,Asia,Men+,595
Prince Edward Island,Hong Kong,Asia,Men+,45
Prince Edward Island,Taiwan,Asia,Men+,15
Prince Edward Island,Myanmar,Asia,Men+,10
Prince Edward Island,Philippines,Asia,Men+,255
Prince Edward Island,Viet Nam,Asia,Men+,240
Prince Edward Island,Bangladesh,Asia,Men+,25
Prince Edward Island,India,Asia,Men+,390
Prince Edward Island,Nepal,Asia,Men+,10
Prince Edward Island,Pakistan,Asia,Men+,10
Prince Edward Island,Sri Lanka,Asia,Men+,15
Prince Edward Island,United States of America,North America,Women+,95
Prince Edward Island,Mexico,North America,Women+,20
Prince Edward Island,Bahamas,North America,Women+,20
Prince Edward Island,Jamaica,North America,Women+,60
Prince Edward Island,Brazil,South America,Women+,25
Prince Edward Island,Colombia,South America,Women+,20
Prince Edward Island,Belgium,Europe,Women+,15
Prince Edward Island,France,Europe,Women+,20
Prince Edward Island,Bulgaria,Europe,Women+,10
Prince Edward Island,Russian Federation,Europe,Women+,30
Prince Edward Island,Ukraine,Europe,Women+,15
Prince Edward Island,Ireland,Europe,Women+,10
Prince Edward Island,United Kingdom,Europe,Women+,65
Prince Edward Island,Albania,Europe,Women+,15
Prince Edward Island,Italy,Europe,Women+,20
Prince Edward Island,Kosovo,Europe,Women+,10
Prince Edward Island,Nigeria,Africa,Women+,40
Prince Edward Island,Egypt,Africa,Women+,10
Prince Edward Island,Libya,Africa,Women+,10
Prince Edward Island,Morocco,Africa,Women+,10
Prince Edward Island,Cameroon,Africa,Women+,15
Prince Edward Island,"South Africa, Republic of",Africa,Women+,10
Prince Edward Island,Iran,Asia,Women+,10
Prince Edward Island,Iraq,Asia,Women+,15
Prince Edward Island,Saudi Arabia,Asia,Women+,10
Prince Edward Island,Syria,Asia,Women+,95
Prince Edward Island,Turkey,Asia,Women+,10
Prince Edward Island,United Arab Emirates,Asia,Women+,35
Prince Edward Island,China,Asia,Women+,575
Prince Edward Island,Hong Kong,Asia,Women+,30
Prince Edward Island,Taiwan,Asia,Women+,20
Prince Edward Island,Myanmar,Asia,Women+,10
Prince Edward Island,Philippines,Asia,Women+,370
Prince Edward Island,Viet Nam,Asia,Women+,230
Prince Edward Island,Bangladesh,Asia,Women+,20
Prince Edward Island,India,Asia,Women+,280
Prince Edward Island,Nepal,Asia,Women+,10
Prince Edward Island,Sri Lanka,Asia,Women+,15
Prince Edward Island,United States of America,North America,Men+,45
Prince Edward Island,Mexico,North America,Men+,15
Prince Edward Island,Bahamas,North America,Men+,30
Prince Edward Island,Jamaica,North America,Men+,45
Prince Edward Island,Brazil,South America,Men+,30
Prince Edward Island,Chile,South America,Men+,20
Prince Edward Island,Colombia,South America,Men+,15
Prince Edward Island,France,Europe,Men+,20
Prince Edward Island,Netherlands,Europe,Men+,10
Prince Edward Island,Bulgaria,Europe,Men+,10
Prince Edward Island,Russian Federation,Europe,Men+,15
Prince Edward Island,Ukraine,Europe,Men+,15
Prince Edward Island,United Kingdom,Europe,Men+,65
Prince Edward Island,Albania,Europe,Men+,10
Prince Edward Island,Italy,Europe,Men+,10
Prince Edward Island,Kosovo,Europe,Men+,20
Prince Edward Island,Nigeria,Africa,Men+,40
Prince Edward Island,Kenya,Africa,Men+,10
Prince Edward Island,Tanzania,Africa,Men+,15
Prince Edward Island,Egypt,Africa,Men+,20
Prince Edward Island,Libya,Africa,Men+,10
Prince Edward Island,"South Africa, Republic of",Africa,Men+,10
Prince Edward Island,Iraq,Asia,Men+,25
Prince Edward Island,Israel,Asia,Men+,10
Prince Edward Island,Jordan,Asia,Men+,15
Prince Edward Island,Lebanon,Asia,Men+,20
Prince Edward Island,Saudi Arabia,Asia,Men+,15
Prince Edward Island,Syria,Asia,Men+,125
Prince Edward Island,United Arab Emirates,Asia,Men+,15
Prince Edward Island,China,Asia,Men+,570
Prince Edward Island,Hong Kong,Asia,Men+,45
Prince Edward Island,Taiwan,Asia,Men+,15
Prince Edward Island,Myanmar,Asia,Men+,10
Prince Edward Island,Philippines,Asia,Men+,250
Prince Edward Island,Viet Nam,Asia,Men+,235
Prince Edward Island,Bangladesh,Asia,Men+,20
Prince Edward Island,India,Asia,Men+,385
Prince Edward Island,Nepal,Asia,Men+,10
Prince Edward Island,Pakistan,Asia,Men+,10
Prince Edward Island,Sri Lanka,Asia,Men+,15
Prince Edward Island,United States of America,North America,Women+,95
Prince Edward Island,Mexico,North America,Women+,20
Prince Edward Island,Bahamas,North America,Women+,20
Prince Edward Island,Jamaica,North America,Women+,60
Prince Edward Island,Brazil,South America,Women+,25
Prince Edward Island,Colombia,South America,Women+,20
Prince Edward Island,France,Europe,Women+,15
Prince Edward Island,Bulgaria,Europe,Women+,10
Prince Edward Island,Russian Federation,Europe,Women+,30
Prince Edward Island,Ireland,Europe,Women+,10
Prince Edward Island,United Kingdom,Europe,Women+,65
Prince Edward Island,Albania,Europe,Women+,10
Prince Edward Island,Italy,Europe,Women+,15
Prince Edward Island,Kosovo,Europe,Women+,10
Prince Edward Island,Nigeria,Africa,Women+,40
Prince Edward Island,Egypt,Africa,Women+,10
Prince Edward Island,Libya,Africa,Women+,10
Prince Edward Island,Morocco,Africa,Women+,10
Prince Edward Island,Cameroon,Africa,Women+,15
Prince Edward Island,"South Africa, Republic of",Africa,Women+,10
Prince Edward Island,Iraq,Asia,Women+,15
Prince Edward Island,Saudi Arabia,Asia,Women+,10
Prince Edward Island,Syria,Asia,Women+,95
Prince Edward Island,Turkey,Asia,Women+,10
Prince Edward Island,United Arab Emirates,Asia,Women+,35
Prince Edward Island,China,Asia,Women+,565
Prince Edward Island,Hong Kong,Asia,Women+,30
Prince Edward Island,Taiwan,Asia,Women+,20
Prince Edward Island,Myanmar,Asia,Women+,10
Prince Edward Island,Philippines,Asia,Women+,365
Prince Edward Island,Viet Nam,Asia,Women+,225
Prince Edward Island,Bangladesh,Asia,Women+,15
Prince Edward Island,India,Asia,Women+,275
Prince Edward Island,Nepal,Asia,Women+,10
Prince Edward Island,Sri Lanka,Asia,Women+,15
Nova Scotia,United States of America,North America,Men+,475
Nova Scotia,Guatemala,North America,Men+,20
Nova Scotia,Mexico,North America,Men+,55
Nova Scotia,Antigua and Barbuda,North America,Men+,10
Nova Scotia,Bahamas,North America,Men+,55
Nova Scotia,Barbados,North America,Men+,20
Nova Scotia,Bermuda,North America,Men+,10
Nova Scotia,Cayman Islands,North America,Men+,10
Nova Scotia,Cuba,North America,Men+,10
Nova Scotia,Dominican Republic,North America,Men+,30
Nova Scotia,Jamaica,North America,Men+,170
Nova Scotia,Saint Vincent and the Grenadines,North America,Men+,10
Nova Scotia,Trinidad and Tobago,North America,Men+,25
Nova Scotia,Argentina,South America,Men+,20
Nova Scotia,Brazil,South America,Men+,135
Nova Scotia,Chile,South America,Men+,15
Nova Scotia,Colombia,South America,Men+,25
Nova Scotia,Peru,South America,Men+,10
