Canadian Province/CMA,Gender,Mother tongue,Population,Province
Quebec,Women+,Lingala,420,Quebec
Quebec,Women+,Luba-Kasai,35,Quebec
Quebec,Women+,Mòoré,90,Quebec
Quebec,Women+,Mwani,10,Quebec
Quebec,Women+,Ndebele,10,Quebec
Quebec,Women+,Rundi (Kirundi),840,Quebec
Quebec,Women+,Swahili,820,Quebec
Quebec,Women+,Wojenaka,160,Quebec
Quebec,Women+,Wolof,585,Quebec
Quebec,Women+,Yoruba,125,Quebec
Quebec,Women+,"Niger-Congo languages, n.i.e.",940,Quebec
Quebec,Women+,"Nilo-Saharan languages, n.i.e.",145,Quebec
Quebec,Women+,"African, n.o.s.",25,Quebec
Quebec,Women+,Hakka,25,Quebec
Quebec,Women+,Mandarin,5495,Quebec
Quebec,Women+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",80,Quebec
Quebec,Women+,Wu (Shanghainese),45,Quebec
Quebec,Women+,Yue (Cantonese),460,Quebec
Quebec,Women+,"Chinese, n.o.s.",50,Quebec
Quebec,Women+,"Chinese languages, n.i.e.",10,Quebec
Quebec,Women+,Tibetan,15,Quebec
Quebec,Women+,"Tibeto-Burman languages, n.i.e.",30,Quebec
Quebec,Women+,Lao,20,Quebec
Quebec,Women+,Thai,245,Quebec
Quebec,Women+,Azerbaijani,35,Quebec
Quebec,Women+,Turkish,315,Quebec
Quebec,Women+,Uyghur,50,Quebec
Quebec,Women+,Uzbek,10,Quebec
Quebec,Women+,"Turkic languages, n.i.e.",10,Quebec
Quebec,Women+,Finnish,25,Quebec
Quebec,Women+,Hungarian,85,Quebec
Quebec,Women+,"Other languages, n.i.e.",25,Quebec
Drummondville,Men+,English,15,Quebec
Drummondville,Men+,French,265,Quebec
Drummondville,Men+,Arabic,150,Quebec
Drummondville,Men+,Haitian Creole,10,Quebec
Drummondville,Men+,Sango,20,Quebec
Drummondville,Men+,Spanish,60,Quebec
Drummondville,Men+,Rundi (Kirundi),35,Quebec
Drummondville,Men+,Swahili,30,Quebec
Drummondville,Men+,Wolof,15,Quebec
Drummondville,Men+,Mandarin,10,Quebec
Drummondville,Women+,English,10,Quebec
Drummondville,Women+,French,205,Quebec
Drummondville,Women+,Arabic,105,Quebec
Drummondville,Women+,Sango,25,Quebec
Drummondville,Women+,Spanish,55,Quebec
Drummondville,Women+,Rundi (Kirundi),20,Quebec
Drummondville,Women+,Swahili,15,Quebec
Drummondville,Women+,Wolof,20,Quebec
Drummondville,Women+,Mandarin,10,Quebec
Montréal,Men+,English,8740,Quebec
Montréal,Men+,French,23675,Quebec
Montréal,Men+,Kabyle,2335,Quebec
Montréal,Men+,Tamazight,60,Quebec
Montréal,Men+,"Berber languages, n.i.e.",25,Quebec
Montréal,Men+,Hausa,45,Quebec
Montréal,Men+,Mina,55,Quebec
Montréal,Men+,Coptic,75,Quebec
Montréal,Men+,Somali,95,Quebec
Montréal,Men+,Amharic,20,Quebec
Montréal,Men+,Arabic,17480,Quebec
Montréal,Men+,Chaldean Neo-Aramaic,10,Quebec
Montréal,Men+,"Aramaic, n.o.s.",65,Quebec
Montréal,Men+,Hebrew,70,Quebec
Montréal,Men+,Tigrigna,160,Quebec
Montréal,Men+,Khmer (Cambodian),50,Quebec
Montréal,Men+,Vietnamese,515,Quebec
Montréal,Men+,Bikol,25,Quebec
Montréal,Men+,"Bisaya, n.o.s.",120,Quebec
Montréal,Men+,Cebuano,240,Quebec
Montréal,Men+,Hiligaynon,90,Quebec
Montréal,Men+,Ilocano,220,Quebec
Montréal,Men+,Indonesian,60,Quebec
Montréal,Men+,Kankanaey,10,Quebec
Montréal,Men+,Kinaray-a,10,Quebec
Montréal,Men+,Merina,90,Quebec
Montréal,Men+,"Malagasy, n.o.s.",45,Quebec
Montréal,Men+,Malay,10,Quebec
Montréal,Men+,"Pampangan (Kapampangan, Pampango)",25,Quebec
Montréal,Men+,"Tagalog (Pilipino, Filipino)",1965,Quebec
Montréal,Men+,Waray-Waray,20,Quebec
Montréal,Men+,"Austronesian languages, n.i.e.",50,Quebec
Montréal,Men+,Haitian Creole,2260,Quebec
Montréal,Men+,Morisyen,240,Quebec
Montréal,Men+,Sango,65,Quebec
Montréal,Men+,"Creole, n.o.s.",695,Quebec
Montréal,Men+,"Creole languages, n.i.e.",30,Quebec
Montréal,Men+,Kannada,95,Quebec
Montréal,Men+,Malayalam,500,Quebec
Montréal,Men+,Tamil,500,Quebec
Montréal,Men+,Telugu,340,Quebec
Montréal,Men+,Albanian,205,Quebec
Montréal,Men+,Armenian,1120,Quebec
Montréal,Men+,Baltic languages,25,Quebec
Montréal,Men+,Latvian,20,Quebec
Montréal,Men+,Lithuanian,10,Quebec
Montréal,Men+,Slavic languages,1925,Quebec
Montréal,Men+,Bulgarian,120,Quebec
Montréal,Men+,Polish,35,Quebec
Montréal,Men+,Russian,1445,Quebec
Montréal,Men+,Serbo-Croatian,100,Quebec
Montréal,Men+,Bosnian,10,Quebec
Montréal,Men+,Croatian,50,Quebec
Montréal,Men+,Serbian,35,Quebec
Montréal,Men+,Slovak,10,Quebec
Montréal,Men+,Ukrainian,205,Quebec
Montréal,Men+,German,215,Quebec
Montréal,Men+,Swiss German,30,Quebec
Montréal,Men+,Yiddish,260,Quebec
Montréal,Men+,Afrikaans,15,Quebec
Montréal,Men+,Dutch,60,Quebec
Montréal,Men+,Vlaams (Flemish),15,Quebec
Montréal,Men+,Danish,15,Quebec
Montréal,Men+,Swedish,40,Quebec
Montréal,Men+,Greek,145,Quebec
Montréal,Men+,Assamese,10,Quebec
Montréal,Men+,Bengali,605,Quebec
Montréal,Men+,Gujarati,370,Quebec
Montréal,Men+,Hindi,705,Quebec
Montréal,Men+,Konkani,20,Quebec
Montréal,Men+,Marathi,65,Quebec
Montréal,Men+,Nepali,120,Quebec
Montréal,Men+,Punjabi (Panjabi),1345,Quebec
Montréal,Men+,Sindhi,10,Quebec
Montréal,Men+,Sinhala (Sinhalese),70,Quebec
Montréal,Men+,Urdu,730,Quebec
Montréal,Men+,"Indo-Aryan languages, n.i.e.",45,Quebec
Montréal,Men+,Kurdish,105,Quebec
Montréal,Men+,Pashto,100,Quebec
Montréal,Men+,Dari,860,Quebec
Montréal,Men+,Iranian Persian,1590,Quebec
Montréal,Men+,"Persian (Farsi), n.o.s.",165,Quebec
Montréal,Men+,"Iranian languages, n.i.e.",15,Quebec
Montréal,Men+,Catalan,40,Quebec
Montréal,Men+,Italian,390,Quebec
Montréal,Men+,Portuguese,985,Quebec
Montréal,Men+,Romanian,835,Quebec
Montréal,Men+,Spanish,5215,Quebec
Montréal,Men+,Japanese,60,Quebec
Montréal,Men+,Korean,495,Quebec
Montréal,Men+,Akan (Twi),50,Quebec
Montréal,Men+,Bamanankan,195,Quebec
Montréal,Men+,Edo,10,Quebec
Montréal,Men+,Éwé,125,Quebec
Montréal,Men+,"Fulah (Pular, Pulaar, Fulfulde)",180,Quebec
Montréal,Men+,Ga,10,Quebec
Montréal,Men+,Igbo,20,Quebec
Montréal,Men+,Kinyarwanda (Rwanda),190,Quebec
Montréal,Men+,Lingala,205,Quebec
Montréal,Men+,Luba-Kasai,10,Quebec
Montréal,Men+,Mòoré,65,Quebec
Montréal,Men+,Mwani,15,Quebec
Montréal,Men+,Rundi (Kirundi),370,Quebec
Montréal,Men+,Shona,10,Quebec
Montréal,Men+,Soninke,20,Quebec
Montréal,Men+,Swahili,175,Quebec
Montréal,Men+,Wojenaka,125,Quebec
Montréal,Men+,Wolof,315,Quebec
Montréal,Men+,Yoruba,120,Quebec
Montréal,Men+,"Niger-Congo languages, n.i.e.",510,Quebec
Montréal,Men+,"Nilo-Saharan languages, n.i.e.",50,Quebec
Montréal,Men+,"Sign languages, n.i.e.",10,Quebec
Montréal,Men+,Hakka,15,Quebec
Montréal,Men+,Mandarin,3920,Quebec
Montréal,Men+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",25,Quebec
Montréal,Men+,Wu (Shanghainese),65,Quebec
Montréal,Men+,Yue (Cantonese),220,Quebec
Montréal,Men+,"Chinese, n.o.s.",45,Quebec
Montréal,Men+,"Chinese languages, n.i.e.",10,Quebec
Montréal,Men+,Tibetan,15,Quebec
Montréal,Men+,Thai,20,Quebec
Montréal,Men+,Azerbaijani,30,Quebec
Montréal,Men+,Turkish,350,Quebec
Montréal,Men+,Uyghur,25,Quebec
Montréal,Men+,Uzbek,10,Quebec
Montréal,Men+,"Turkic languages, n.i.e.",10,Quebec
Montréal,Men+,Finnish,10,Quebec
Montréal,Men+,Hungarian,70,Quebec
Montréal,Men+,"Other languages, n.i.e.",25,Quebec
Montréal,Women+,English,8160,Quebec
Montréal,Women+,French,22550,Quebec
Montréal,Women+,Kabyle,2440,Quebec
Montréal,Women+,Tamazight,85,Quebec
Montréal,Women+,"Berber languages, n.i.e.",40,Quebec
Montréal,Women+,Hausa,40,Quebec
Montréal,Women+,Mina,95,Quebec
Montréal,Women+,Coptic,55,Quebec
Montréal,Women+,Somali,100,Quebec
Montréal,Women+,Amharic,30,Quebec
Montréal,Women+,Arabic,17470,Quebec
Montréal,Women+,"Aramaic, n.o.s.",85,Quebec
Montréal,Women+,Hebrew,75,Quebec
Montréal,Women+,Tigrigna,120,Quebec
Montréal,Women+,"Semitic languages, n.i.e.",10,Quebec
Montréal,Women+,Khmer (Cambodian),195,Quebec
Montréal,Women+,Vietnamese,795,Quebec
Montréal,Women+,Bikol,20,Quebec
Montréal,Women+,"Bisaya, n.o.s.",140,Quebec
Montréal,Women+,Cebuano,400,Quebec
Montréal,Women+,Hiligaynon,160,Quebec
Montréal,Women+,Ilocano,250,Quebec
Montréal,Women+,Indonesian,75,Quebec
Montréal,Women+,Kankanaey,20,Quebec
Montréal,Women+,Kinaray-a,20,Quebec
Montréal,Women+,Merina,85,Quebec
Montréal,Women+,"Malagasy, n.o.s.",35,Quebec
Montréal,Women+,Malay,15,Quebec
Montréal,Women+,"Pampangan (Kapampangan, Pampango)",25,Quebec
Montréal,Women+,"Tagalog (Pilipino, Filipino)",2715,Quebec
Montréal,Women+,Waray-Waray,10,Quebec
Montréal,Women+,"Austronesian languages, n.i.e.",45,Quebec
Montréal,Women+,Haitian Creole,2415,Quebec
Montréal,Women+,Morisyen,215,Quebec
Montréal,Women+,Sango,60,Quebec
Montréal,Women+,"Creole, n.o.s.",640,Quebec
Montréal,Women+,"Creole languages, n.i.e.",25,Quebec
Montréal,Women+,Kannada,80,Quebec
Montréal,Women+,Malayalam,510,Quebec
Montréal,Women+,Tamil,530,Quebec
Montréal,Women+,Telugu,265,Quebec
Montréal,Women+,"Dravidian languages, n.i.e.",15,Quebec
Montréal,Women+,Georgian,10,Quebec
Montréal,Women+,Albanian,220,Quebec
Montréal,Women+,Armenian,1120,Quebec
Montréal,Women+,Baltic languages,25,Quebec
Montréal,Women+,Lithuanian,20,Quebec
Montréal,Women+,Slavic languages,2725,Quebec
Montréal,Women+,Bulgarian,160,Quebec
Montréal,Women+,Czech,20,Quebec
Montréal,Women+,Polish,110,Quebec
Montréal,Women+,Russian,2005,Quebec
Montréal,Women+,Serbo-Croatian,105,Quebec
Montréal,Women+,Croatian,55,Quebec
Montréal,Women+,Serbian,45,Quebec
Montréal,Women+,Slovak,45,Quebec
Montréal,Women+,Slovene (Slovenian),10,Quebec
Montréal,Women+,Ukrainian,290,Quebec
Montréal,Women+,German,140,Quebec
Montréal,Women+,Swiss German,15,Quebec
Montréal,Women+,Yiddish,20,Quebec
Montréal,Women+,Afrikaans,15,Quebec
Montréal,Women+,Dutch,40,Quebec
Montréal,Women+,Danish,30,Quebec
Montréal,Women+,Norwegian,15,Quebec
Montréal,Women+,Swedish,15,Quebec
Montréal,Women+,Greek,200,Quebec
Montréal,Women+,Assamese,10,Quebec
Montréal,Women+,Bengali,635,Quebec
Montréal,Women+,Gujarati,330,Quebec
Montréal,Women+,Hindi,705,Quebec
Montréal,Women+,Kashmiri,10,Quebec
Montréal,Women+,Marathi,65,Quebec
Montréal,Women+,Nepali,80,Quebec
Montréal,Women+,Punjabi (Panjabi),1230,Quebec
Montréal,Women+,Sinhala (Sinhalese),80,Quebec
Montréal,Women+,Urdu,640,Quebec
Montréal,Women+,"Indo-Aryan languages, n.i.e.",30,Quebec
Montréal,Women+,Kurdish,55,Quebec
Montréal,Women+,Pashto,75,Quebec
Montréal,Women+,Dari,795,Quebec
Montréal,Women+,Iranian Persian,1840,Quebec
Montréal,Women+,"Persian (Farsi), n.o.s.",205,Quebec
Montréal,Women+,"Iranian languages, n.i.e.",25,Quebec
Montréal,Women+,Catalan,30,Quebec
Montréal,Women+,Italian,290,Quebec
Montréal,Women+,Portuguese,1145,Quebec
Montréal,Women+,Romanian,1055,Quebec
Montréal,Women+,Spanish,5940,Quebec
Montréal,Women+,Japanese,190,Quebec
Montréal,Women+,Korean,690,Quebec
Montréal,Women+,Mongolian,20,Quebec
Montréal,Women+,Akan (Twi),40,Quebec
Montréal,Women+,Bamanankan,165,Quebec
Montréal,Women+,Edo,25,Quebec
Montréal,Women+,Éwé,130,Quebec
Montréal,Women+,"Fulah (Pular, Pulaar, Fulfulde)",220,Quebec
Montréal,Women+,Ganda,15,Quebec
Montréal,Women+,Igbo,10,Quebec
Montréal,Women+,Kinyarwanda (Rwanda),195,Quebec
Montréal,Women+,Lingala,290,Quebec
Montréal,Women+,Luba-Kasai,25,Quebec
Montréal,Women+,Mòoré,55,Quebec
Montréal,Women+,Mwani,10,Quebec
Montréal,Women+,Ndebele,10,Quebec
Montréal,Women+,Rundi (Kirundi),430,Quebec
Montréal,Women+,Swahili,235,Quebec
Montréal,Women+,Wojenaka,90,Quebec
Montréal,Women+,Wolof,425,Quebec
Montréal,Women+,Yoruba,120,Quebec
Montréal,Women+,"Niger-Congo languages, n.i.e.",580,Quebec
Montréal,Women+,"Nilo-Saharan languages, n.i.e.",45,Quebec
Montréal,Women+,"African, n.o.s.",15,Quebec
Montréal,Women+,Hakka,15,Quebec
Montréal,Women+,Mandarin,5125,Quebec
Montréal,Women+,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",70,Quebec
Montréal,Women+,Wu (Shanghainese),45,Quebec
Montréal,Women+,Yue (Cantonese),380,Quebec
Montréal,Women+,"Chinese, n.o.s.",45,Quebec
Montréal,Women+,"Chinese languages, n.i.e.",10,Quebec
Montréal,Women+,Tibetan,15,Quebec
Montréal,Women+,Lao,20,Quebec
Montréal,Women+,Thai,125,Quebec
Montréal,Women+,Azerbaijani,25,Quebec
Montréal,Women+,Turkish,290,Quebec
Montréal,Women+,Uyghur,50,Quebec
Montréal,Women+,Uzbek,10,Quebec
Montréal,Women+,"Turkic languages, n.i.e.",10,Quebec
Montréal,Women+,Finnish,10,Quebec
Montréal,Women+,Hungarian,70,Quebec
Montréal,Women+,"Other languages, n.i.e.",15,Quebec
Québec,Men+,English,245,Quebec
Québec,Men+,French,3640,Quebec
Québec,Men+,Kabyle,100,Quebec
Québec,Men+,Tamazight,25,Quebec
Québec,Men+,"Berber languages, n.i.e.",25,Quebec
Québec,Men+,Hausa,15,Quebec
Québec,Men+,Arabic,1080,Quebec
Québec,Men+,Vietnamese,20,Quebec
Québec,Men+,Indonesian,10,Quebec
Québec,Men+,Merina,30,Quebec
Québec,Men+,"Malagasy, n.o.s.",10,Quebec
Québec,Men+,"Tagalog (Pilipino, Filipino)",30,Quebec
Québec,Men+,Haitian Creole,85,Quebec
Québec,Men+,Morisyen,10,Quebec
Québec,Men+,Sango,45,Quebec
Québec,Men+,"Creole, n.o.s.",10,Quebec
Québec,Men+,Slavic languages,80,Quebec
Québec,Men+,Russian,55,Quebec
Québec,Men+,Ukrainian,15,Quebec
Québec,Men+,German,10,Quebec
Québec,Men+,Bengali,20,Quebec
Québec,Men+,Nepali,15,Quebec
Québec,Men+,Rohingya,10,Quebec
Québec,Men+,Kurdish,15,Quebec
Québec,Men+,Dari,30,Quebec
Québec,Men+,Iranian Persian,35,Quebec
Québec,Men+,"Persian (Farsi), n.o.s.",10,Quebec
Québec,Men+,Italian,30,Quebec
Québec,Men+,Portuguese,215,Quebec
Québec,Men+,Romanian,50,Quebec
Québec,Men+,Spanish,485,Quebec
Québec,Men+,Japanese,15,Quebec
Québec,Men+,Bamanankan,35,Quebec
Québec,Men+,Éwé,20,Quebec
Québec,Men+,"Fulah (Pular, Pulaar, Fulfulde)",55,Quebec
Québec,Men+,Kinyarwanda (Rwanda),60,Quebec
Québec,Men+,Lingala,35,Quebec
Québec,Men+,Mòoré,15,Quebec
Québec,Men+,Rundi (Kirundi),130,Quebec
Québec,Men+,Swahili,205,Quebec
Québec,Men+,Wojenaka,25,Quebec
Québec,Men+,Wolof,55,Quebec
Québec,Men+,"Niger-Congo languages, n.i.e.",130,Quebec
Québec,Men+,"Nilo-Saharan languages, n.i.e.",30,Quebec
Québec,Men+,"African, n.o.s.",15,Quebec
Québec,Men+,Mandarin,65,Quebec
Québec,Men+,"Tibeto-Burman languages, n.i.e.",15,Quebec
Québec,Men+,Turkish,15,Quebec
Québec,Women+,English,225,Quebec
Québec,Women+,French,3665,Quebec
Québec,Women+,Kabyle,120,Quebec
Québec,Women+,Tamazight,20,Quebec
Québec,Women+,"Berber languages, n.i.e.",10,Quebec
Québec,Women+,Hausa,35,Quebec
Québec,Women+,Somali,20,Quebec
Québec,Women+,Arabic,1080,Quebec
Québec,Women+,Vietnamese,60,Quebec
Québec,Women+,Indonesian,10,Quebec
Québec,Women+,Merina,30,Quebec
Québec,Women+,"Malagasy, n.o.s.",15,Quebec
Québec,Women+,"Tagalog (Pilipino, Filipino)",40,Quebec
Québec,Women+,Haitian Creole,85,Quebec
Québec,Women+,Morisyen,20,Quebec
Québec,Women+,Sango,30,Quebec
Québec,Women+,"Creole, n.o.s.",10,Quebec
Québec,Women+,Albanian,10,Quebec
Québec,Women+,Slavic languages,175,Quebec
Québec,Women+,Bulgarian,15,Quebec
Québec,Women+,Polish,10,Quebec
Québec,Women+,Russian,90,Quebec
Québec,Women+,Serbo-Croatian,30,Quebec
Québec,Women+,Bosnian,10,Quebec
Québec,Women+,Serbian,15,Quebec
Québec,Women+,Ukrainian,40,Quebec
Québec,Women+,German,10,Quebec
Québec,Women+,Bengali,25,Quebec
Québec,Women+,Marathi,10,Quebec
Québec,Women+,Nepali,20,Quebec
Québec,Women+,Rohingya,15,Quebec
Québec,Women+,Kurdish,25,Quebec
Québec,Women+,Dari,40,Quebec
Québec,Women+,Iranian Persian,35,Quebec
Québec,Women+,"Persian (Farsi), n.o.s.",25,Quebec
Québec,Women+,Italian,10,Quebec
Québec,Women+,Portuguese,230,Quebec
Québec,Women+,Romanian,65,Quebec
Québec,Women+,Spanish,510,Quebec
Québec,Women+,Japanese,10,Quebec
Québec,Women+,Korean,10,Quebec
Québec,Women+,Bamanankan,75,Quebec
Québec,Women+,"Fulah (Pular, Pulaar, Fulfulde)",40,Quebec
Québec,Women+,Kinyarwanda (Rwanda),75,Quebec
Québec,Women+,Lingala,50,Quebec
Québec,Women+,Mòoré,30,Quebec
Québec,Women+,Rundi (Kirundi),130,Quebec
Québec,Women+,Swahili,205,Quebec
Québec,Women+,Wojenaka,35,Quebec
Québec,Women+,Wolof,55,Quebec
Québec,Women+,"Niger-Congo languages, n.i.e.",135,Quebec
Québec,Women+,"Nilo-Saharan languages, n.i.e.",45,Quebec
Québec,Women+,"African, n.o.s.",10,Quebec
Québec,Women+,Mandarin,95,Quebec
Québec,Women+,Yue (Cantonese),10,Quebec
Québec,Women+,"Chinese, n.o.s.",10,Quebec
Québec,Women+,"Tibeto-Burman languages, n.i.e.",25,Quebec
Québec,Women+,Thai,20,Quebec
Québec,Women+,Hungarian,10,Quebec
Saguenay,Men+,English,10,Quebec
Saguenay,Men+,French,140,Quebec
Saguenay,Men+,Arabic,25,Quebec
Saguenay,Men+,Spanish,30,Quebec
Saguenay,Women+,English,10,Quebec
Saguenay,Women+,French,130,Quebec
Saguenay,Women+,Arabic,30,Quebec
Saguenay,Women+,Spanish,20,Quebec
Sherbrooke,Men+,English,70,Quebec
Sherbrooke,Men+,French,650,Quebec
Sherbrooke,Men+,Kabyle,10,Quebec
Sherbrooke,Men+,Tamazight,10,Quebec
Sherbrooke,Men+,Arabic,320,Quebec
Sherbrooke,Men+,"Aramaic, n.o.s.",10,Quebec
Sherbrooke,Men+,Sango,20,Quebec
Sherbrooke,Men+,Slavic languages,20,Quebec
Sherbrooke,Men+,Russian,10,Quebec
Sherbrooke,Men+,Serbo-Croatian,15,Quebec
Sherbrooke,Men+,Serbian,15,Quebec
Sherbrooke,Men+,German,25,Quebec
Sherbrooke,Men+,Punjabi (Panjabi),10,Quebec
Sherbrooke,Men+,Dari,455,Quebec
Sherbrooke,Men+,Iranian Persian,40,Quebec
Sherbrooke,Men+,Portuguese,30,Quebec
Sherbrooke,Men+,Spanish,185,Quebec
Sherbrooke,Men+,Éwé,15,Quebec
Sherbrooke,Men+,Kinyarwanda (Rwanda),20,Quebec
Sherbrooke,Men+,Lingala,10,Quebec
Sherbrooke,Men+,Rundi (Kirundi),25,Quebec
Sherbrooke,Men+,Swahili,105,Quebec
Sherbrooke,Men+,Wolof,10,Quebec
Sherbrooke,Men+,"Niger-Congo languages, n.i.e.",15,Quebec
Sherbrooke,Men+,"Nilo-Saharan languages, n.i.e.",30,Quebec
Sherbrooke,Women+,English,95,Quebec
Sherbrooke,Women+,French,530,Quebec
Sherbrooke,Women+,Kabyle,30,Quebec
Sherbrooke,Women+,Tamazight,10,Quebec
Sherbrooke,Women+,Arabic,335,Quebec
Sherbrooke,Women+,"Aramaic, n.o.s.",15,Quebec
Sherbrooke,Women+,Vietnamese,10,Quebec
Sherbrooke,Women+,Haitian Creole,20,Quebec
Sherbrooke,Women+,Sango,30,Quebec
Sherbrooke,Women+,Slavic languages,55,Quebec
Sherbrooke,Women+,Russian,45,Quebec
Sherbrooke,Women+,Serbo-Croatian,10,Quebec
Sherbrooke,Women+,Serbian,10,Quebec
Sherbrooke,Women+,German,10,Quebec
Sherbrooke,Women+,Greek,10,Quebec
Sherbrooke,Women+,Urdu,15,Quebec
Sherbrooke,Women+,Dari,470,Quebec
Sherbrooke,Women+,Iranian Persian,25,Quebec
Sherbrooke,Women+,Portuguese,30,Quebec
Sherbrooke,Women+,Romanian,15,Quebec
Sherbrooke,Women+,Spanish,175,Quebec
Sherbrooke,Women+,Korean,10,Quebec
Sherbrooke,Women+,Éwé,15,Quebec
Sherbrooke,Women+,Kinyarwanda (Rwanda),15,Quebec
Sherbrooke,Women+,Lingala,15,Quebec
Sherbrooke,Women+,Rundi (Kirundi),35,Quebec
Sherbrooke,Women+,Swahili,115,Quebec
Sherbrooke,Women+,Wolof,10,Quebec
Sherbrooke,Women+,"Niger-Congo languages, n.i.e.",20,Quebec
Sherbrooke,Women+,"Nilo-Saharan languages, n.i.e.",30,Quebec
Sherbrooke,Women+,Mandarin,30,Quebec
Sherbrooke,Women+,Thai,15,Quebec
Trois-Rivières,Men+,English,45,Quebec
Trois-Rivières,Men+,French,375,Quebec
Trois-Rivières,Men+,Arabic,125,Quebec
Trois-Rivières,Men+,"Tagalog (Pilipino, Filipino)",10,Quebec
Trois-Rivières,Men+,Slavic languages,10,Quebec
Trois-Rivières,Men+,Russian,10,Quebec
Trois-Rivières,Men+,Kurdish,20,Quebec
Trois-Rivières,Men+,Portuguese,10,Quebec
Trois-Rivières,Men+,Spanish,85,Quebec
Trois-Rivières,Men+,Rundi (Kirundi),10,Quebec
Trois-Rivières,Men+,Swahili,10,Quebec
Trois-Rivières,Men+,"Niger-Congo languages, n.i.e.",10,Quebec
Trois-Rivières,Women+,English,30,Quebec
Trois-Rivières,Women+,French,360,Quebec
Trois-Rivières,Women+,Tamazight,15,Quebec
Trois-Rivières,Women+,Arabic,115,Quebec
Trois-Rivières,Women+,Merina,10,Quebec
Trois-Rivières,Women+,"Malagasy, n.o.s.",10,Quebec
Trois-Rivières,Women+,"Tagalog (Pilipino, Filipino)",15,Quebec
Trois-Rivières,Women+,Slavic languages,10,Quebec
Trois-Rivières,Women+,Russian,10,Quebec
Trois-Rivières,Women+,Kurdish,10,Quebec
Trois-Rivières,Women+,Portuguese,15,Quebec
Trois-Rivières,Women+,Spanish,110,Quebec
Trois-Rivières,Women+,Éwé,10,Quebec
Trois-Rivières,Women+,Swahili,20,Quebec
Trois-Rivières,Women+,"Niger-Congo languages, n.i.e.",15,Quebec
Trois-Rivières,Women+,Mandarin,10,Quebec
Trois-Rivières,Women+,Yue (Cantonese),25,Quebec
Ontario,Men+,English,81660,Ontario
Ontario,Men+,French,6455,Ontario
Ontario,Men+,Kabyle,65,Ontario
Ontario,Men+,Tamazight,15,Ontario
Ontario,Men+,"Berber languages, n.i.e.",15,Ontario
Ontario,Men+,Hausa,105,Ontario
Ontario,Men+,Coptic,105,Ontario
Ontario,Men+,Bilen,360,Ontario
Ontario,Men+,Oromo,145,Ontario
Ontario,Men+,Somali,2025,Ontario
Ontario,Men+,"Cushitic languages, n.i.e.",130,Ontario
Ontario,Men+,Amharic,1095,Ontario
Ontario,Men+,Arabic,31510,Ontario
Ontario,Men+,Assyrian Neo-Aramaic,1155,Ontario
Ontario,Men+,Chaldean Neo-Aramaic,865,Ontario
Ontario,Men+,"Aramaic, n.o.s.",190,Ontario
Ontario,Men+,Hebrew,660,Ontario
Ontario,Men+,Maltese,20,Ontario
Ontario,Men+,Tigrigna,3350,Ontario
Ontario,Men+,"Semitic languages, n.i.e.",40,Ontario
Ontario,Men+,Khmer (Cambodian),140,Ontario
Ontario,Men+,Vietnamese,2005,Ontario
Ontario,Men+,"Austro-Asiatic languages, n.i.e",10,Ontario
Ontario,Men+,Bikol,100,Ontario
Ontario,Men+,"Bisaya, n.o.s.",305,Ontario
Ontario,Men+,Cebuano,710,Ontario
Ontario,Men+,Hiligaynon,515,Ontario
Ontario,Men+,Ilocano,1765,Ontario
Ontario,Men+,Indonesian,310,Ontario
Ontario,Men+,Kankanaey,65,Ontario
Ontario,Men+,Kinaray-a,25,Ontario
Ontario,Men+,"Malagasy, n.o.s.",10,Ontario
Ontario,Men+,Malay,45,Ontario
Ontario,Men+,"Pampangan (Kapampangan, Pampango)",90,Ontario
Ontario,Men+,Pangasinan,85,Ontario
Ontario,Men+,"Tagalog (Pilipino, Filipino)",14030,Ontario
Ontario,Men+,Waray-Waray,80,Ontario
Ontario,Men+,"Austronesian languages, n.i.e.",235,Ontario
Ontario,Men+,Haitian Creole,505,Ontario
Ontario,Men+,Jamaican English Creole,70,Ontario
Ontario,Men+,Morisyen,170,Ontario
Ontario,Men+,Sango,10,Ontario
Ontario,Men+,"Creole, n.o.s.",320,Ontario
Ontario,Men+,"Creole languages, n.i.e.",90,Ontario
Ontario,Men+,Kannada,1150,Ontario
Ontario,Men+,Malayalam,5820,Ontario
Ontario,Men+,Tamil,6440,Ontario
Ontario,Men+,Telugu,5170,Ontario
Ontario,Men+,Tulu,100,Ontario
Ontario,Men+,"Dravidian languages, n.i.e.",30,Ontario
Ontario,Men+,Georgian,195,Ontario
Ontario,Men+,Albanian,1025,Ontario
Ontario,Men+,Armenian,1055,Ontario
Ontario,Men+,Baltic languages,85,Ontario
Ontario,Men+,Latvian,25,Ontario
Ontario,Men+,Lithuanian,55,Ontario
Ontario,Men+,Slavic languages,8570,Ontario
Ontario,Men+,Belarusian,15,Ontario
Ontario,Men+,Bulgarian,185,Ontario
Ontario,Men+,Czech,150,Ontario
Ontario,Men+,Macedonian,105,Ontario
Ontario,Men+,Polish,795,Ontario
Ontario,Men+,Russian,4560,Ontario
Ontario,Men+,Serbo-Croatian,1025,Ontario
Ontario,Men+,Bosnian,85,Ontario
Ontario,Men+,Croatian,375,Ontario
