Canadian Province/CMA,Visible minority,"Highest certificate, diploma or degree",Gender,Total - Labour force status,In the labour force,Employed,Unemployed,Not in the labour force,Participation rate,Employment rate,Unemployment rate
Alberta,Korean,"College, CEGEP or other non-university certificate or diploma",Men+ ,195.0,170.0,150.0,25.0,25.0,87.2,76.9,14.7
Alberta,Korean,"College, CEGEP or other non-university certificate or diploma",Women+ ,255.0,205.0,145.0,60.0,45.0,80.4,56.9,29.3
Alberta,Korean,High (secondary) school diploma or equivalency certificate,Men+ ,340.0,250.0,195.0,60.0,90.0,73.5,57.4,24.0
Alberta,Korean,High (secondary) school diploma or equivalency certificate,Women+ ,410.0,195.0,135.0,65.0,215.0,47.6,32.9,33.3
Alberta,Korean,"No certificate, diploma or degree",Men+ ,105.0,25.0,15.0,10.0,75.0,23.8,14.3,40.0
Alberta,Korean,"No certificate, diploma or degree",Women+ ,100.0,10.0,10.0,0.0,95.0,10.0,10.0,0.0
Alberta,Korean,University certificate or diploma below bachelor level,Men+ ,110.0,100.0,80.0,25.0,10.0,90.9,72.7,25.0
Alberta,Korean,University certificate or diploma below bachelor level,Women+ ,135.0,85.0,60.0,25.0,50.0,63.0,44.4,29.4
Alberta,Latin American,Apprenticeship or trades certificate or diploma,Men+ ,180.0,160.0,150.0,10.0,20.0,88.9,83.3,6.3
Alberta,Latin American,Apprenticeship or trades certificate or diploma,Women+ ,140.0,95.0,70.0,25.0,50.0,67.9,50.0,26.3
Alberta,Latin American,Bachelor's degree or higher,Men+ ,1190.0,1090.0,995.0,95.0,100.0,91.6,83.6,8.7
Alberta,Latin American,Bachelor's degree or higher,Women+ ,1685.0,1255.0,1095.0,155.0,435.0,74.5,65.0,12.4
Alberta,Latin American,"College, CEGEP or other non-university certificate or diploma",Men+ ,300.0,280.0,270.0,10.0,25.0,93.3,90.0,3.6
Alberta,Latin American,"College, CEGEP or other non-university certificate or diploma",Women+ ,475.0,350.0,275.0,70.0,125.0,73.7,57.9,20.0
Alberta,Latin American,High (secondary) school diploma or equivalency certificate,Men+ ,910.0,820.0,715.0,105.0,90.0,90.1,78.6,12.8
Alberta,Latin American,High (secondary) school diploma or equivalency certificate,Women+ ,1065.0,675.0,505.0,170.0,390.0,63.4,47.4,25.2
Alberta,Latin American,"No certificate, diploma or degree",Men+ ,610.0,365.0,330.0,35.0,240.0,59.8,54.1,9.6
Alberta,Latin American,"No certificate, diploma or degree",Women+ ,605.0,225.0,190.0,40.0,380.0,37.2,31.4,17.8
Alberta,Latin American,University certificate or diploma below bachelor level,Men+ ,190.0,180.0,150.0,30.0,15.0,94.7,78.9,16.7
Alberta,Latin American,University certificate or diploma below bachelor level,Women+ ,180.0,105.0,95.0,15.0,75.0,58.3,52.8,14.3
Alberta,Multiple visible minorities,Apprenticeship or trades certificate or diploma,Men+ ,50.0,45.0,40.0,10.0,0.0,90.0,80.0,22.2
Alberta,Multiple visible minorities,Apprenticeship or trades certificate or diploma,Women+ ,35.0,35.0,30.0,0.0,0.0,100.0,85.7,0.0
Alberta,Multiple visible minorities,Bachelor's degree or higher,Men+ ,330.0,300.0,260.0,40.0,30.0,90.9,78.8,13.3
Alberta,Multiple visible minorities,Bachelor's degree or higher,Women+ ,420.0,340.0,320.0,20.0,80.0,81.0,76.2,5.9
Alberta,Multiple visible minorities,"College, CEGEP or other non-university certificate or diploma",Men+ ,55.0,45.0,35.0,10.0,15.0,81.8,63.6,22.2
Alberta,Multiple visible minorities,"College, CEGEP or other non-university certificate or diploma",Women+ ,100.0,75.0,65.0,10.0,30.0,75.0,65.0,13.3
Alberta,Multiple visible minorities,High (secondary) school diploma or equivalency certificate,Men+ ,270.0,215.0,195.0,20.0,55.0,79.6,72.2,9.3
Alberta,Multiple visible minorities,High (secondary) school diploma or equivalency certificate,Women+ ,230.0,135.0,105.0,35.0,90.0,58.7,45.7,25.9
Alberta,Multiple visible minorities,"No certificate, diploma or degree",Men+ ,210.0,75.0,55.0,15.0,140.0,35.7,26.2,20.0
Alberta,Multiple visible minorities,"No certificate, diploma or degree",Women+ ,200.0,60.0,60.0,0.0,135.0,30.0,30.0,0.0
